Service,Micro Category,Macro Category,Service Category
Specialty Mani Pedi,Specialty Mani Pedi,Mani Pedi,Nails
Specialty Manicure,Specialty Manicure,Manicure,Nails
Specialty Pedicure,Specialty Pedicure,Pedicure,Nails
Sports Massage,Sports Massage,Massage,Spa
Steam room,Spa Add-on,Spa Add-on,Spa
Stomach Waxing,Stomach Waxing,Waxing,Hair Removal
Stress Relief Massage,Stress Relief Massage,Massage,Spa
Sugaring Package Deal,Sugaring Package Deal,Sugaring,Hair Removal
Swedish Massage,Swedish Massage,Massage,Spa
Take it all Waxing,Take it all Waxing,Waxing,Hair Removal
Thai Massage,Thai Massage,Massage,Spa
Therapeutic Massage,Therapeutic Massage,Massage,Spa
Threading Package Deal,Package Deal,Threading,Hair Removal
Underarm Sugaring,Underarm Sugaring,Sugaring,Hair Removal
Underarm Threading,Underarm Threading,Threading,Hair Removal
Underarm Waxing,Underarm Waxing,Waxing,Hair Removal
Upper Body Airbrush Tanning,Upper Body Airbrush Tanning,Airbrush Tanning,Spa
Vinylux Add-on,Vinylux Add-on,Nails Add-on,Nails
Vitamin Facial,Vitamin Facial,Facial,Spa
Waxing Package Deal,Package Deal,Waxing,Hair Removal
French Gel Manicure,,Manicure,Nails
French Gel Pedicure,,Pedicure,Nails
Gel Fill,,Manicure,Nails
Men's Manzilian Waxing,,Waxing,Hair Removal
Men's Take It All Waxing,,Waxing,Hair Removal
Spa Add-on,,Spa Add-on,Spa
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
