Service,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,Location,Hours,Discounted?
Airbrush Tanning - Face,,Face,Tanning,Spa,,15,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,65,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
Waxing - Full legs,,Full leg,Waxing,Hair Removal,,45+,Mani-Pedi Beauty Spa,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,35,Nail Today,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,45,Pampered Hands Salon,"Mon-Fri 9am-7pm, Sat 10am-5pm ",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,35,Pearly Nails,"Mon 10am-7pm, Wed-Sun 10am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,60,Polish Nail & Beauty Spa,Tues-Sun 10am-7pm,FALSE
Waxing  - Full legs,"Early Bird Discount - Need to make appointment and mention ""Early bird"" for it to apply",Full leg,Waxing,Hair Removal,48,55,Polished Nest,"Tues-Fri 11am-4pm, Sat-Sun 10am-1pm",TRUE
Waxing - Full legs,,Full leg,Waxing,Hair Removal,,55,Polished Nest,"Tues-Fri 4pm-7pm, Sat-Sun 1pm-6pm",FALSE
Waxing - Full legs,,Full leg,Waxing,Hair Removal,,60,Q Spa,"Mon-Fri 11am-7:30pm, Sat 10am-7pm, Sun 10am-6pm",FALSE
Waxing - Full legs,,Full leg,Waxing,Hair Removal,,40,Relax Nails,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,45,Richmond Nail Salon,Mon-Sun 10am-7pm,FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,50+,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,40,Sensi Luxury Nails & Spa,"Tues-Thurs 11am-7:30pm, Sat-Sun 10:30am-7pm",FALSE
Eyeliner Upper & Lower,"Includes free touch up 4 weeks after for first time client.
2 hours
Lasts about 3-5 years.
1 year Color Boost $250
2 year Color Boost $300
3 year Touch Up $450
Full price after 3 years. ",Eyeliner,Semi-permanent makeup,Spa,,550,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Eyeliner Upper,"Includes free touch up 4 weeks after for first time client
1.5 hours
Lasts about 3-5 years.
1 year Color Boost $200
2 year Color Boost $250
3 year Touch Up $300
Full price after 3 years.",Eyeliner,Semi-permanent makeup,Spa,,400,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Eyeliner Lower,"Includes free touch up 4 weeks after for first time client.
1 hour
Lasts about 2 years.
1 year Color Boost $150
2 year Color Boost $200
Full price after 2 years.",Eyeliner,Semi-permanent makeup,Spa,,300,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Eyeline Semi-permanent tattoo,,Eyeliner,Semi-permanent makeup,Spa,,88,Nels Beauty Salon,Mon-Sun 10:30am-7:30pm,FALSE
Tint Eyelash,,Tinting,Eyelash,Hair,,28,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
